画像読み込み成功: images/base/base.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 7850 / 40401  (ω1=8.9°, ω2=21.0°, E=1610.8762)
  進捗: 7900 / 40401  (ω1=8.9°, ω2=26.0°, E=1405.1430)
  進捗: 7950 / 40401  (ω1=8.9°, ω2=31.0°, E=1461.3755)
  進捗: 8000 / 40401  (ω1=8.9°, ω2=36.0°, E=1674.2069)
  進捗: 8050 / 40401  (ω1=9.0°, ω2=20.9°, E=1610.5682)
  進捗: 8100 / 40401  (ω1=9.0°, ω2=25.9°, E=1411.2918)
  進捗: 8150 / 40401  (ω1=9.0°, ω2=30.9°, E=1447.8172)
  進捗: 8200 / 40401  (ω1=9.0°, ω2=35.9°, E=1673.6418)
  進捗: 8250 / 40401  (ω1=9.1°, ω2=20.8°, E=1608.6934)
  進捗: 8300 / 40401  (ω1=9.1°, ω2=25.8°, E=1415.9045)
  進捗: 8350 / 40401  (ω1=9.1°, ω2=30.8°, E=1432.9684)
  進捗: 8400 / 40401  (ω1=9.1°, ω2=35.8°, E=1671.3631)
  進捗: 8450 / 40401  (ω1=9.2°, ω2=20.7°, E=1606.4319)
  進捗: 8500 / 40401  (ω1=9.2°, ω2=25.7°, E=1417.7034)
  進捗: 8550 / 40401  (ω1=9.2°, ω2=30.7°, E=1417.1629)
  進捗: 8600 / 40401  (ω1=9.2°, ω2=35.7°, E=1667.8625)
  進捗: 8650 / 40401  (ω1=9.3°, ω2=20.6°, E=1604.3400)
  進捗: 8700 / 40401  (ω1=9.3°, ω2=25.6°, E=1419.0807)
  進捗: 8750 / 40401  (ω1=9.3°, ω2=30.6°, E=1399.9936)
  進捗: 8800 / 40401  (ω1=9.3°, ω2=35.6°, E=1664.4087)
  進捗: 8850 / 40401  (ω1=9.4°, ω2=20.5°, E=1601.8935)
  進捗: 8900 / 40401  (ω1=9.4°, ω2=25.5°, E=1421.4290)
